Field1,ID,time,lon,lat,event_id,tagtype,sex,height_above_wgs84,height_above_wgs84_1,fix,point_state,moving,on_land,POINT_X,POINT_Y,POINT_Z,Terrain
5589,NS-2022-11,2022-11-06 01:59:28,-63.325324999999999,45.240436600000002,24204680091,4g - hybrid overwater,m,,28.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.325326904999940,45.240427156000067,0.000000000000000,24.5200043
5591,NS-2022-11,2022-11-07 02:01:36,-63.325195299999997,45.240436600000002,24223102870,4g - hybrid overwater,m,,22.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.325197204999938,45.240427156000067,0.000000000000000,24.2900009
5341,NS-2022-08,2022-10-23 01:59:28,-63.320152299999997,45.239666000000000,24143139932,4g - hybrid overwater,m,,42.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.320154206999973,45.239656556000057,0.000000000000000,38.5349998
5365,NS-2022-08,2022-11-08 01:59:28,-63.318950700000002,45.240741700000001,24237726145,4g - hybrid overwater,m,,50.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.318952606999972,45.240732256000058,0.000000000000000,46.0289993
5499,NS-2022-10,2022-11-01 02:01:36,-63.316337599999997,45.241790799999997,24184523489,4g - hybrid overwater,m,,44.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.316339507999942,45.241781356000047,0.000000000000000,39.2140007
5500,NS-2022-10,2022-11-02 01:59:28,-63.316852599999997,45.241611499999998,24184523494,4g - hybrid overwater,m,,47.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.316854507999949,45.241602056000033,0.000000000000000,43.0220032
5496,NS-2022-10,2022-10-30 02:01:36,-63.314495100000002,45.241741200000000,24179012071,4g - hybrid overwater,m,,33.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.314497008999979,45.241731756000036,0.000000000000000,31.5280037
5497,NS-2022-10,2022-10-31 01:59:28,-63.315723400000003,45.241790799999997,24179012075,4g - hybrid overwater,m,,45.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.315725307999969,45.241781356000047,0.000000000000000,37.0600014
5485,NS-2022-10,2022-10-23 01:59:28,-63.307994800000003,45.241230000000002,24143139935,4g - hybrid overwater,m,,33.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.307996710999987,45.241220556000030,0.000000000000000,31.9740028
5487,NS-2022-10,2022-10-24 02:01:36,-63.308120700000003,45.241279599999999,24143139956,4g - hybrid overwater,m,,38.000000000000000,3D,Point state: Stationary,TRUE,TRUE,-63.308122610999988,45.241270156000041,0.000000000000000,32.1330032
5428,NS-2022-09,2022-11-03 02:01:36,-63.348671000000003,45.243637100000001,24184523518,4g - hybrid overwater,m,,0.000000000000000,3D,Point state: Stationary,TRUE,TRUE,-63.348672896999972,45.243627656000058,0.000000000000000,-2.0989971
5429,NS-2022-09,2022-11-04 01:59:28,-63.335769700000000,45.245582599999999,24204680073,4g - hybrid overwater,m,,18.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.335771600999976,45.245573156000034,0.000000000000000,13.1510029
5432,NS-2022-09,2022-11-06 01:59:28,-63.335308099999999,45.245426199999997,24204680090,4g - hybrid overwater,m,,18.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.335310001999972,45.245416756000054,0.000000000000000,12.8200016
5434,NS-2022-09,2022-11-07 02:01:36,-63.335411100000002,45.245479600000003,24237726144,4g - hybrid overwater,m,,8.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.335413000999949,45.245470156000067,0.000000000000000,12.8920040
5435,NS-2022-09,2022-11-08 01:59:28,-63.335590400000001,45.245479600000003,24237726147,4g - hybrid overwater,m,,19.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.335592300999963,45.245470156000067,0.000000000000000,12.9130039
5437,NS-2022-09,2022-11-09 02:01:36,-63.337486300000002,45.245964100000002,24237726166,4g - hybrid overwater,m,,14.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.337488200999985,45.245954656000038,0.000000000000000,12.7000027
5440,NS-2022-09,2022-11-11 02:01:36,-63.335460699999999,45.245479600000003,24252430391,4g - hybrid overwater,m,,14.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.335462600999961,45.245470156000067,0.000000000000000,12.6720028
5441,NS-2022-09,2022-11-12 01:59:28,-63.335460699999999,45.245426199999997,24254461748,4g - hybrid overwater,m,,13.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.335462600999961,45.245416756000054,0.000000000000000,12.8450031
5443,NS-2022-09,2022-11-13 02:01:36,-63.335666699999997,45.245502500000001,24254461754,4g - hybrid overwater,m,,15.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.335668600999952,45.245493056000043,0.000000000000000,12.8330059
5444,NS-2022-09,2022-11-14 01:59:28,-63.335460699999999,45.245376600000000,24254461757,4g - hybrid overwater,m,,14.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.335462600999961,45.245367156000043,0.000000000000000,12.6880016
5446,NS-2022-09,2022-11-15 02:01:36,-63.337204000000000,45.246017500000001,24283328552,4g - hybrid overwater,m,,11.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.337205900999948,45.246008056000051,0.000000000000000,12.8980007
5447,NS-2022-09,2022-11-16 01:59:28,-63.338867200000003,45.245246899999998,24292361852,4g - hybrid overwater,m,,12.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.338869099999954,45.245237456000041,0.000000000000000,11.5010033
5449,NS-2022-09,2022-11-17 02:01:36,-63.335590400000001,45.245479600000003,24297393586,4g - hybrid overwater,m,,12.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.335592300999963,45.245470156000067,0.000000000000000,12.9130039
5450,NS-2022-09,2022-11-18 01:59:28,-63.335563700000002,45.245452899999997,24297393587,4g - hybrid overwater,m,,15.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.335565600999985,45.245443456000032,0.000000000000000,12.5970020
5452,NS-2022-09,2022-11-19 02:01:36,-63.337585400000002,45.245914499999998,24297393608,4g - hybrid overwater,m,,17.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.337587300999985,45.245905056000026,0.000000000000000,12.6960049
5453,NS-2022-09,2022-11-20 01:59:28,-63.335540799999997,45.245452899999997,24300154537,4g - hybrid overwater,m,,15.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.335542700999952,45.245443456000032,0.000000000000000,12.5970020
5438,NS-2022-09,2022-11-10 01:59:28,-63.331314100000000,45.245887799999998,24237726172,4g - hybrid overwater,m,,29.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.331316002999984,45.245878356000048,0.000000000000000,28.7750015
5568,NS-2022-11,2022-10-23 01:59:28,-63.334232299999996,45.245861099999999,24143139936,4g - hybrid overwater,m,,15.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.334234201999948,45.245851656000070,0.000000000000000,13.4290028
5570,NS-2022-11,2022-10-24 02:01:36,-63.334335299999999,45.245582599999999,24143139957,4g - hybrid overwater,m,,18.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.334337201999972,45.245573156000034,0.000000000000000,12.3820019
5571,NS-2022-11,2022-10-25 01:59:28,-63.334209399999999,45.245887799999998,24143139962,4g - hybrid overwater,m,,18.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.334211301999972,45.245878356000048,0.000000000000000,13.4090023
5573,NS-2022-11,2022-10-26 02:01:36,-63.334308600000000,45.245349900000001,24143139986,4g - hybrid overwater,m,,18.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.334310501999937,45.245340456000065,0.000000000000000,12.4450035
5282,NS-2022-07,2022-11-15 02:01:36,-63.342399600000000,45.246963500000000,24283328551,4g - hybrid overwater,m,,16.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.342401498999948,45.246954056000050,0.000000000000000,12.0520039
5291,NS-2022-07,2022-11-21 02:01:36,-63.342273700000000,45.246833799999997,24305513751,4g - hybrid overwater,m,,16.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.342275598999947,45.246824356000047,0.000000000000000,11.6140041
5451,NS-2022-09,2022-11-18 17:59:28,-63.334899900000003,45.247039800000003,24297393596,4g - hybrid overwater,m,,24.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.334901801999933,45.247030355000049,0.000000000000000,22.2450008
5454,NS-2022-09,2022-11-20 17:59:28,-63.334644300000001,45.247142799999999,24300154543,4g - hybrid overwater,m,,19.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.334646201999988,45.247133355000074,0.000000000000000,22.7180042
5455,NS-2022-09,2022-11-22 17:59:28,-63.334926600000003,45.247371700000002,24363375444,4g - hybrid overwater,m,,-1.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.334928501999968,45.247362255000041,0.000000000000000,21.2230015
