"event_id","height_above_terrain","p_flight","flight_binary"
18256194243,19.884,0,0
18279741013,-85.668,0,0
18395863338,-55.857,0,0
18395863367,-465.214,0,0
18395863412,41.197,0,0
18395863481,47.693,0,0
18483496121,5.07100000000003,0,0
18507848800,4.08100000000002,0,0
18534034652,5.10199999999998,0,0
18586315564,18.685,0,0
18604664746,13.65,0,0
18628342639,10.0700000000001,0,0
18652625318,-83.934,0,0
18690983753,45.6180000000001,0,0
18690983791,7.74000000000001,0,0
18750320577,10.167,0,0
18750320612,-21.1799999999999,0,0
18784646981,9.26599999999996,0,0
18799202756,43.823,0,0
18897319090,1.596,0,0
18897319126,6.774,0,0
19033909954,-7.76499999999999,0,0
19033909976,21.895,0,0
19397723967,146.672,0,0
19397723968,-3.93099999999998,0,0
19236336570,-6.10300000000001,0,0
19236336585,6.33699999999999,0,0
19397723979,2.34199999999998,0,0
19397723988,-10.05,0,0
19531794045,7.69999999999999,0,0
19531794061,37.866,0,0
19663506467,16.214,0,0
19663506478,7.255,0,0
19794563575,3.38999999999999,0,0
19794563584,-9.55200000000002,0,0
17833286371,-24.036,0,0
17833286390,23.164,0,0
17833286407,15.875,0,0
17882472447,19.073,0,0
18009745629,14.288,0,0
18009745708,30.816,0,0
18009745795,29.445,0,0
18052008948,-8.15799999999999,0,0
18089366225,-7.39500000000001,0,0
18106065778,21.782,0,0
18145087169,-17.964,0,0
18169751841,13.872,0,0
18240116603,12.381,0,0
18240116645,9.60500000000002,0,0
18256194275,13.542,0,0
18296035930,-67.273,0,0
18395863368,-536.253,0,0
18395863413,-27.006,0,0
18395863482,-10.413,0,0
18413433766,-5.21000000000004,0,0
18483496122,3.14700000000005,0,0
18483496170,7.38099999999997,0,0
18586315540,7.52200000000005,0,0
18586315565,-10.462,0,0
18586315607,-17.0700000000001,0,0
18628342640,-15.149,0,0
18690983728,8.596,0,0
18690983754,17.521,0,0
18784646897,12.696,0,0
18784646905,-25.604,0,0
18784646933,0.309999999999945,0,0
18784646982,-9.31600000000003,0,0
18814703830,2.18899999999996,0,0
18897319091,1.44200000000001,0,0
18897319127,-60.253,0,0
19033909955,-66.047,0,0
19033909977,57.8579999999999,0,0
19236336553,17.034,0,0
19236336562,-36.154,0,0
19236336571,-9.68100000000004,0,0
19236336586,21.799,0,0
19397723980,37.778,0,0
19397723989,-15.8440000000001,0,0
19663506448,-484.299,0,0
19663506450,-150.698,0,0
19794563576,8.27200000000005,0,0
19794563585,10.931,0,0
17833286372,16.515,0,0
17833286391,52.145,0,0
17901259823,26.661,0,0
17882472448,-0.647999999999996,0,0
18052008887,23.003,0,0
18009745709,-23.194,0,0
18009745796,-2.095,0,0
18052008949,-7.506,0,0
18089366226,-18.471,0,0
18124433747,-7.374,0,0
18124433775,-22.03,0,0
18169751842,5.23099999999999,0,0
18240116604,-5.81700000000001,0,0
18240116646,4.56400000000002,0,0
18279741014,7.36200000000002,0,0
18296035931,4.62099999999998,0,0
18311652266,10.285,0,0
18338059525,-9.79000000000002,0,0
18442778558,1.947,0,0
18586315526,31.236,0,0
18507848801,12.913,0,0
18586315608,-436.49,0,0
18652625276,5.25999999999999,0,0
18652625319,26.7,0,0
18724615623,19.032,0,0
18724615647,10.089,0,0
18750320578,10.119,0,0
18784646934,23.7,0,0
18784646983,26.207,0,0
18897319092,-13.443,0,0
18897319128,13.63,0,0
17833286373,13.862,0,0
17833286392,-10.528,0,0
17833286408,8.99799999999999,0,0
17869104837,18.002,0,0
18009745710,-5.923,0,0
18009745797,-0.192000000000007,0,0
18052008950,-0.691000000000003,0,0
18089366227,17.649,0,0
18106065779,18.649,0,0
18217470814,13.599,0,0
18217470828,-8.31899999999996,0,0
18296035893,8.80099999999999,0,0
18296035906,-18.578,0,0
18338059485,-17.429,0,0
18338059526,14.255,0,0
18442778568,19.268,0,0
18442778582,0.175000000000011,0,0
18483496171,-3.00900000000001,0,0
18534034653,-8.87200000000001,0,0
